,metal,ox,ligstr,complex.size,spin,geom
563,co,3.0,ncs_thiopyridine_thiopyridine_thiopyridine,40.0,5.0,tetrahedral
564,co,3.0,ncs_ncs_benzisc_benzisc,39.0,5.0,tetrahedral
565,co,3.0,ncs_ncs_formaldehyde_formaldehyde,15.0,5.0,tetrahedral
566,co,3.0,ncs_ncs_methylamine_methylamine,21.0,5.0,tetrahedral
567,co,3.0,ncs_ncs_thiopyridine_thiopyridine,31.0,5.0,tetrahedral
568,co,3.0,ncs_ncs_ncs_benzisc,26.0,5.0,tetrahedral
569,co,3.0,ncs_ncs_ncs_formaldehyde,14.0,5.0,tetrahedral
570,co,3.0,ncs_ncs_ncs_methylamine,17.0,5.0,tetrahedral
571,co,3.0,ncs_ncs_ncs_thiopyridine,22.0,5.0,tetrahedral
572,co,3.0,scn_formaldehyde_formaldehyde_formaldehyde,16.0,5.0,tetrahedral
573,co,3.0,scn_ncs_ncs_ncs,13.0,5.0,tetrahedral
574,co,3.0,scn_scn_formaldehyde_formaldehyde,15.0,5.0,tetrahedral
575,co,3.0,scn_scn_ncs_ncs,13.0,5.0,tetrahedral
576,co,3.0,scn_scn_scn_formaldehyde,14.0,5.0,tetrahedral
577,co,3.0,scn_scn_scn_ncs,13.0,5.0,tetrahedral
578,cr,3.0,cyanopyridine_cyanopyridine_formaldehyde_formaldehyde,33.0,4.0,tetrahedral
579,cr,3.0,cyanopyridine_cyanopyridine_cyanopyridine_formaldehyde,41.0,4.0,tetrahedral
580,cr,3.0,formaldehyde_hydrogensulfide_hydrogensulfide_hydrogensulfide,14.0,4.0,tetrahedral
581,cr,3.0,formaldehyde_pyridine_pyridine_pyridine,38.0,4.0,tetrahedral
582,cr,3.0,formaldehyde_formaldehyde_hydroxyl_hydroxyl,13.0,4.0,tetrahedral
583,cr,3.0,formaldehyde_formaldehyde_pyridine_pyridine,31.0,4.0,tetrahedral
584,cr,3.0,formaldehyde_formaldehyde_formaldehyde_hydrogensulfide,16.0,4.0,tetrahedral
585,cr,3.0,formaldehyde_formaldehyde_formaldehyde_hydroxyl,15.0,4.0,tetrahedral
586,cr,3.0,formaldehyde_formaldehyde_formaldehyde_pyridine,24.0,4.0,tetrahedral
587,cr,3.0,ncs_cyanopyridine_cyanopyridine_cyanopyridine,40.0,4.0,tetrahedral
588,cr,3.0,ncs_pyridine_pyridine_pyridine,37.0,4.0,tetrahedral
589,cr,3.0,ncs_thiopyridine_thiopyridine_thiopyridine,40.0,4.0,tetrahedral
590,cr,3.0,ncs_ncs_cyanopyridine_cyanopyridine,31.0,4.0,tetrahedral
591,cr,3.0,ncs_ncs_hydroxyl_hydroxyl,11.0,4.0,tetrahedral
592,cr,3.0,ncs_ncs_pyridine_pyridine,29.0,4.0,tetrahedral
593,cr,3.0,ncs_ncs_thiopyridine_thiopyridine,31.0,4.0,tetrahedral
